epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,813.493,1.40784,7.88317,1.13708,0.65558,0.51306,0.56769,0.23887,1.86772,10.3798,1.24876,0.00153167,0.00153167,0.00153167
43,830.692,1.44549,7.71474,1.13145,0.68844,0.54479,0.60832,0.27294,1.78616,9.78825,1.22856,0.00152837,0.00152837,0.00152837
44,851.255,1.44867,8.03409,1.1467,0.64509,0.54072,0.60236,0.25628,1.79908,10.0661,1.22682,0.00152507,0.00152507,0.00152507
45,874.939,1.3689,7.80281,1.13708,0.64096,0.56842,0.60959,0.27438,1.75173,9.80774,1.2177,0.00152177,0.00152177,0.00152177
46,893.04,1.41576,7.65106,1.14344,0.62913,0.54316,0.59257,0.26462,1.76654,9.97162,1.23303,0.00151847,0.00151847,0.00151847
47,909.572,1.4468,8.05561,1.16713,0.63122,0.55293,0.59131,0.2642,1.73783,9.90554,1.21649,0.00151517,0.00151517,0.00151517
48,927.272,1.38603,7.86718,1.14473,0.66952,0.55049,0.60151,0.26701,1.73561,9.71153,1.20243,0.00151187,0.00151187,0.00151187
49,945.038,1.42055,7.7086,1.11709,0.68042,0.51792,0.58417,0.25613,1.76721,9.94638,1.20959,0.00150857,0.00150857,0.00150857
50,964.364,1.39172,7.55835,1.14473,0.65841,0.52362,0.57917,0.2608,1.74938,9.85472,1.2142,0.00150527,0.00150527,0.00150527
51,982.296,1.42845,7.6606,1.13023,0.66947,0.52606,0.58866,0.25665,1.79789,10.577,1.24134,0.00150197,0.00150197,0.00150197
52,1000.12,1.37508,7.46947,1.12218,0.66813,0.52443,0.59609,0.26523,1.77613,10.0509,1.21923,0.00149867,0.00149867,0.00149867
53,1018.69,1.37259,7.63324,1.14066,0.6815,0.49919,0.59218,0.26399,1.77156,10.1655,1.22718,0.00149537,0.00149537,0.00149537
54,1036.66,1.46337,7.77106,1.11701,0.66925,0.54046,0.59521,0.2701,1.77439,9.48521,1.23598,0.00149207,0.00149207,0.00149207
55,1053.81,1.42129,7.4061,1.13603,0.69781,0.50896,0.583,0.2586,1.80046,9.7215,1.259,0.00148876,0.00148876,0.00148876
56,1071.75,1.38189,7.6926,1.12722,0.69753,0.53339,0.58378,0.25725,1.7933,9.83133,1.23476,0.00148546,0.00148546,0.00148546
57,1089.38,1.35636,7.83947,1.13673,0.67704,0.5513,0.6093,0.2643,1.74852,9.90804,1.22697,0.00148216,0.00148216,0.00148216
58,1106.98,1.33528,7.37442,1.12298,0.63117,0.56577,0.60278,0.26489,1.76241,9.54094,1.21863,0.00147886,0.00147886,0.00147886
59,1123.82,1.32737,7.21368,1.11117,0.6631,0.54967,0.60432,0.27512,1.74764,9.68829,1.20955,0.00147556,0.00147556,0.00147556
60,1145.24,1.29754,7.08836,1.09083,0.6233,0.53176,0.57887,0.25779,1.78617,10.2809,1.22904,0.00147226,0.00147226,0.00147226
61,1163.79,1.37183,7.23742,1.11859,0.69173,0.57329,0.61599,0.27146,1.74659,9.95355,1.20718,0.00146896,0.00146896,0.00146896
62,1190.16,1.32325,7.21905,1.11779,0.6456,0.55293,0.59591,0.26277,1.77003,9.61679,1.21536,0.00146566,0.00146566,0.00146566
63,1208.04,1.39441,7.38276,1.10448,0.58908,0.54167,0.55588,0.24693,1.79145,10.4828,1.21352,0.00146236,0.00146236,0.00146236
64,1228.13,1.39906,7.43285,1.10657,0.68189,0.55537,0.61473,0.27185,1.78043,9.60007,1.23296,0.00145906,0.00145906,0.00145906
65,1247.26,1.38001,7.37349,1.12295,0.68657,0.55537,0.62245,0.27747,1.77402,9.93778,1.2283,0.00145576,0.00145576,0.00145576
66,1267.04,1.37907,7.52886,1.12867,0.66815,0.5798,0.62061,0.27822,1.74149,9.25385,1.19839,0.00145246,0.00145246,0.00145246
67,1286.42,1.37037,7.235,1.09739,0.68134,0.54967,0.61343,0.27012,1.78397,9.51314,1.21474,0.00144916,0.00144916,0.00144916
68,1313.07,1.37804,7.41434,1.12674,0.64989,0.56685,0.60455,0.26871,1.78825,9.65214,1.22751,0.00144586,0.00144586,0.00144586
69,1330.7,1.33705,7.25259,1.11763,0.69274,0.53664,0.60536,0.27839,1.72237,9.30069,1.19808,0.00144256,0.00144256,0.00144256
70,1356.8,1.29582,6.88062,1.07399,0.68961,0.56086,0.62762,0.28098,1.73333,9.44157,1.20196,0.00143925,0.00143925,0.00143925
71,1376.57,1.33459,6.96469,1.07253,0.68622,0.56678,0.62926,0.29121,1.71387,8.9756,1.19502,0.00143595,0.00143595,0.00143595
72,1394.31,1.384,7.62454,1.14775,0.69242,0.55293,0.61372,0.27887,1.72751,9.93758,1.19354,0.00143265,0.00143265,0.00143265
73,1412.74,1.34156,7.297,1.1092,0.68667,0.5741,0.6338,0.28647,1.71592,8.913,1.19877,0.00142935,0.00142935,0.00142935
74,1431,1.28146,6.83994,1.07741,0.69936,0.5684,0.64003,0.29099,1.73385,9.00093,1.20805,0.00142605,0.00142605,0.00142605
75,1449.47,1.35448,7.52759,1.09655,0.68581,0.57492,0.64272,0.28583,1.74713,9.22248,1.20723,0.00142275,0.00142275,0.00142275
76,1469.17,1.27143,7.03857,1.08823,0.69627,0.56026,0.62344,0.27295,1.76877,9.57269,1.21757,0.00141945,0.00141945,0.00141945
